action,blood glucose,reward,meal,risk,time
[[0.]],335.04987,-109.14436900934382,0.0,40.760462615852894,11:09
[[0.]],339.74945,-110.96590250731171,0.0,41.63159956929641,11:12
[[0.]],341.88544,-111.43830668453225,0.0,42.47471251698863,11:15
[[0.]],342.2244,-111.19082231240165,0.0,43.28884707806455,11:18
[[0.]],341.77057,-110.78000912850193,0.0,44.07352057722747,11:21
[[0.]],341.52975,-110.70901642165758,0.0,44.82862387651903,11:24
[[0.]],342.43124,-111.42473195865908,0.0,45.55434401332163,11:27
[[0.]],344.93765,-113.04997637145132,0.0,46.2511037348932,11:30
[[0.]],348.81088,-115.30279477474595,0.0,46.91951469525823,11:33
[[0.]],353.65765,-117.95039837581123,0.0,47.56034173013856,11:36
[[0.]],359.0852,-120.79665786825115,0.0,48.1744762064269,11:39
[[0.]],364.70792,-123.65078535149598,0.0,48.762916946754295,11:42
[[0.]],370.18036,-126.34989466005797,0.0,49.326757666382484,11:45
[[0.]],375.21698,-128.76561746690925,0.0,49.86718024561994,11:48
[[0.]],379.54596,-130.7656988164136,0.0,50.38545351458722,11:51
[[0.]],382.8958,-132.2148876625435,0.0,50.882937564057826,11:54
[[0.]],385.0286,-133.00205695374393,0.0,51.3610939220315,11:57
[[0.]],385.9054,-133.15308401186343,0.0,51.82150223056446,12:00
[[0.]],385.78555,-132.8653913841421,0.0,52.2658842372939,12:03
[[0.]],384.99536,-132.31708159197464,0.0,52.696135746482554,12:06
[[0.]],383.86203,-131.67188041657792,0.0,53.114366084651,12:09
[[0.]],382.71384,-131.0942542141908,0.0,53.522941377692355,12:12
[[0.]],381.88028,-130.7493752670125,0.0,53.92452016882699,12:15
[[0.]],381.69223,-130.80306781244167,0.0,54.32205454937527,12:18
[[0.]],382.4816,-131.4214705758363,0.0,54.71870727114134,12:21
[[0.]],384.5807,-132.77048244805042,0.0,55.11762069781544,12:24
[[0.]],386.0323,-133.34792506627596,0.0,55.52150742641164,12:27
[[0.]],384.5812,-131.95894210705058,0.0,55.9321598868841,12:30
[[0.]],384.36853,-132.1356376904263,0.0,56.350583742491466,12:33
[[0.]],385.20554,-132.79412030136257,0.0,56.77718755341172,12:36
[[0.]],386.89825,-133.83589354048132,0.0,57.21077565096508,12:39
[[0.]],389.24603,-135.1589892455911,0.0,57.648820329728345,12:42
[[0.]],392.04404,-136.66004474539102,0.0,58.08802881248417,12:45
[[0.]],395.08536,-138.23527462052795,0.0,58.5248028553856,12:48
[[0.]],398.16272,-139.7811679641327,0.0,58.95557091303036,12:51
[[0.]],401.06946,-141.1948153793034,0.0,59.377004404324715,12:54
[[0.]],403.62817,-142.39438165151108,0.0,59.78614221569713,12:57
[[0.]],405.8297,-143.41356929445743,0.0,60.180448817352634,13:00
[[0.]],407.9166,-144.43054372386177,0.0,60.557827604347274,13:03
